fuente,contenido,texto_limpio
Web,citas de admision para 6to primaria. Mi menor es Pedro.,citas de admision para 6to primaria mi menor es pedro
Email,<p><b>Solicito información de pagos y detalles para 1ero secundaria. Atte: Sofia.</b></p>,solicito informacion de pagos y detalles para 1ero secundaria atte sofia
Web,documentos para traslado a 6to primaria. Postulante: Pedro.,documentos para traslado a 6to primaria postulante pedro
Email,"Estimados, quisiera saber los cuotas de secundaria para mi hijo Gabriel.",estimados quisiera saber los cuotas de secundaria para mi hijo gabriel
Web,<p><b>cronograma de admision para 6to primaria. Mi menor es Camila.</b></p>,cronograma de admision para 6to primaria mi menor es camila
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA INICIAL 3 AÑOS. ATTE: LUIS.,solicito informacion de costos y detalles para inicial 3 anos atte luis
Web,requisitos para traslado a inicial 4 años. Postulante: Mateo.,requisitos para traslado a inicial 4 anos postulante mateo
WhatsApp,Hola hay disponibilidad de ingreso para inicial 3 años? Mi niño se llama Sofia.,hola hay disponibilidad de ingreso para inicial 3 anos mi nino se llama sofia
Email,"Estimados, quisiera saber los cuotas de secundaria para mi hijo Maria.",estimados quisiera saber los cuotas de secundaria para mi hijo maria
Web,papeles para traslado a 5to secundaria. Postulante: Elena.,papeles para traslado a 5to secundaria postulante elena
WhatsApp,<p><b>Hola hay cupos para 6to primaria? Mi niño se llama Nicolas.</b></p>,hola hay cupos para 6to primaria mi nino se llama nicolas
Email,"Estimados, quisiera saber los mensualidad de inicial 4 años para mi hijo Camila.",estimados quisiera saber los mensualidad de inicial 4 anos para mi hijo camila
WhatsApp,<p><b>Saber si hay cupos en primer grado para Camila. Gracias.</b></p>,saber si hay cupos en primer grado para camila gracias
Email,"ESTIMADOS, QUISIERA SABER LOS COSTOS DE SECUNDARIA PARA MI HIJO ELENA.",estimados quisiera saber los costos de secundaria para mi hijo elena
Email,"Estimados, quisiera saber los mensualidad de 6to primaria para mi hijo Luis.",estimados quisiera saber los mensualidad de 6to primaria para mi hijo luis
Web,REQUISITOS PARA TRASLADO A INICIAL 3 AÑOS. POSTULANTE: PEDRO.,requisitos para traslado a inicial 3 anos postulante pedro
Web,citas de admision para 5to secundaria. Mi menor es Luis.,citas de admision para 5to secundaria mi menor es luis
Web,cronograma de admision para inicial 3 años. Mi menor es Ana.,cronograma de admision para inicial 3 anos mi menor es ana
WhatsApp,Hola hay lugares para inicial 3 años? Mi niño se llama Nicolas.,hola hay lugares para inicial 3 anos mi nino se llama nicolas
WhatsApp,Saber si hay lugares en inicial 4 años para Sebastian. Gracias.,saber si hay lugares en inicial 4 anos para sebastian gracias
Email,Solicito información de pagos y detalles para 6to primaria. Atte: Gabriel.,solicito informacion de pagos y detalles para 6to primaria atte gabriel
Email,"Estimados, quisiera saber los mensualidad de 1ero secundaria para mi hijo Pedro.",estimados quisiera saber los mensualidad de 1ero secundaria para mi hijo pedro
Web,FICHA DE MATRÍCULA PARA TRASLADO A INICIAL 4 AÑOS. POSTULANTE: CAMILA.,ficha de matricula para traslado a inicial 4 anos postulante camila
WhatsApp,Saber si hay disponibilidad de ingreso en 6to primaria para Luis. Gracias.,saber si hay disponibilidad de ingreso en 6to primaria para luis gracias
Email,"Estimados, quisiera saber los pagos de inicial 3 años para mi hijo Sofia.",estimados quisiera saber los pagos de inicial 3 anos para mi hijo sofia
Web,DOCUMENTOS PARA TRASLADO A PRIMER GRADO. POSTULANTE: SEBASTIAN.,documentos para traslado a primer grado postulante sebastian
WhatsApp,<p><b>Hola hay espacios para 5to secundaria? Mi niño se llama Mateo.</b></p>,hola hay espacios para 5to secundaria mi nino se llama mateo
WhatsApp,Hola hay cupos para inicial 3 años? Mi niño se llama Sofia.,hola hay cupos para inicial 3 anos mi nino se llama sofia
Email,"Estimados, quisiera saber los mensualidad de primer año para mi hijo Gabriel.",estimados quisiera saber los mensualidad de primer ano para mi hijo gabriel
Web,cronograma de admision para primer año. Mi menor es Lucia.,cronograma de admision para primer ano mi menor es lucia
WhatsApp,Hola hay disponibilidad de ingreso para inicial 4 años? Mi niño se llama Ana.,hola hay disponibilidad de ingreso para inicial 4 anos mi nino se llama ana
WhatsApp,Saber si hay cupos en secundaria para Sofia. Gracias.,saber si hay cupos en secundaria para sofia gracias
Web,documentos para traslado a 1ero secundaria. Postulante: Lucia.,documentos para traslado a 1ero secundaria postulante lucia
Email,"<p><b>Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Thiago.</b></p>",estimados quisiera saber los cuotas de 1ero primaria para mi hijo thiago
Email,"Estimados, quisiera saber los cuotas de secundaria para mi hijo Luis.",estimados quisiera saber los cuotas de secundaria para mi hijo luis
Web,charlas de admision para 5to secundaria. Mi menor es Camila.,charlas de admision para 5to secundaria mi menor es camila
WhatsApp,<p><b>Saber si hay lugares en 1ero primaria para Pedro. Gracias.</b></p>,saber si hay lugares en 1ero primaria para pedro gracias
Email,"Estimados, quisiera saber los costos de inicial 3 años para mi hijo Gabriel.",estimados quisiera saber los costos de inicial 3 anos para mi hijo gabriel
WhatsApp,Saber si hay disponibilidad de ingreso en inicial 3 años para Thiago. Gracias.,saber si hay disponibilidad de ingreso en inicial 3 anos para thiago gracias
WhatsApp,HOLA HAY CUPOS PARA 6TO PRIMARIA? MI NIÑO SE LLAMA MARIA.,hola hay cupos para 6to primaria mi nino se llama maria
Email,"<p><b>Estimados, quisiera saber los pagos de 6to primaria para mi hijo Pedro.</b></p>",estimados quisiera saber los pagos de 6to primaria para mi hijo pedro
Web,documentos para traslado a primer grado. Postulante: Maria.,documentos para traslado a primer grado postulante maria
Email,"Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Luis.",estimados quisiera saber los cuotas de 1ero primaria para mi hijo luis
Web,cronograma de admision para 1ero primaria. Mi menor es Lucia.,cronograma de admision para 1ero primaria mi menor es lucia
Email,"<p><b>Estimados, quisiera saber los costos de primer año para mi hijo Nicolas.</b></p>",estimados quisiera saber los costos de primer ano para mi hijo nicolas
Web,CHARLAS DE ADMISION PARA INICIAL 4 AÑOS. MI MENOR ES MARIA.,charlas de admision para inicial 4 anos mi menor es maria
Web,DOCUMENTACIÓN PARA TRASLADO A 5TO SECUNDARIA. POSTULANTE: LUIS.,documentacion para traslado a 5to secundaria postulante luis
Email,<p><b>Solicito información de pagos y detalles para 1ero primaria. Atte: Sebastian.</b></p>,solicito informacion de pagos y detalles para 1ero primaria atte sebastian
WhatsApp,Hola hay cupos para 1ero primaria? Mi niño se llama Sebastian.,hola hay cupos para 1ero primaria mi nino se llama sebastian
Web,charlas de admision para 1ero secundaria. Mi menor es Mateo.,charlas de admision para 1ero secundaria mi menor es mateo
WhatsApp,<p><b>Saber si hay vacantes en primer grado para Lucia. Gracias.</b></p>,saber si hay vacantes en primer grado para lucia gracias
Web,charlas de admision para inicial 3 años. Mi menor es Thiago.,charlas de admision para inicial 3 anos mi menor es thiago
Email,"Estimados, quisiera saber los precios de primer grado para mi hijo Gabriel.",estimados quisiera saber los precios de primer grado para mi hijo gabriel
Email,"Estimados, quisiera saber los mensualidad de primer grado para mi hijo Valentina.",estimados quisiera saber los mensualidad de primer grado para mi hijo valentina
Web,<p><b>documentos para traslado a inicial 5 años. Postulante: Nicolas.</b></p>,documentos para traslado a inicial 5 anos postulante nicolas
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en inicial 5 años para Pedro. Gracias.</b></p>,saber si hay disponibilidad de ingreso en inicial 5 anos para pedro gracias
Email,"<p><b>Estimados, quisiera saber los costos de primer grado para mi hijo Luis.</b></p>",estimados quisiera saber los costos de primer grado para mi hijo luis
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE 1ERO PRIMARIA PARA MI HIJO SOFIA.",estimados quisiera saber los precios de 1ero primaria para mi hijo sofia
Email,"Estimados, quisiera saber los mensualidad de 1ero secundaria para mi hijo Mateo.",estimados quisiera saber los mensualidad de 1ero secundaria para mi hijo mateo
WhatsApp,Saber si hay lugares en secundaria para Camila. Gracias.,saber si hay lugares en secundaria para camila gracias
Web,citas de admision para 5to secundaria. Mi menor es Ana.,citas de admision para 5to secundaria mi menor es ana
WhatsApp,Hola hay lugares para 5to secundaria? Mi niño se llama Mateo.,hola hay lugares para 5to secundaria mi nino se llama mateo
Email,Solicito información de cuotas y detalles para inicial 5 años. Atte: Sofia.,solicito informacion de cuotas y detalles para inicial 5 anos atte sofia
Email,"Estimados, quisiera saber los pagos de primer año para mi hijo Pedro.",estimados quisiera saber los pagos de primer ano para mi hijo pedro
WhatsApp,<p><b>Hola hay vacantes para primer grado? Mi niño se llama Thiago.</b></p>,hola hay vacantes para primer grado mi nino se llama thiago
Email,"ESTIMADOS, QUISIERA SABER LOS PENSIONES DE PRIMER AÑO PARA MI HIJO MARIA.",estimados quisiera saber los pensiones de primer ano para mi hijo maria
WhatsApp,Hola hay lugares para 5to secundaria? Mi niño se llama Pedro.,hola hay lugares para 5to secundaria mi nino se llama pedro
Email,<p><b>Solicito información de pagos y detalles para primer año. Atte: Pedro.</b></p>,solicito informacion de pagos y detalles para primer ano atte pedro
Email,"Estimados, quisiera saber los pensiones de primer año para mi hijo Camila.",estimados quisiera saber los pensiones de primer ano para mi hijo camila
Email,Solicito información de costos y detalles para 1ero secundaria. Atte: Mateo.,solicito informacion de costos y detalles para 1ero secundaria atte mateo
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Sebastian.",estimados quisiera saber los precios de 5to secundaria para mi hijo sebastian
Web,CRONOGRAMA DE ADMISION PARA PRIMER GRADO. MI MENOR ES ELENA.,cronograma de admision para primer grado mi menor es elena
Web,<p><b>reunión de admision para 5to secundaria. Mi menor es Nicolas.</b></p>,reunion de admision para 5to secundaria mi menor es nicolas
Web,<p><b>citas de admision para secundaria. Mi menor es Maria.</b></p>,citas de admision para secundaria mi menor es maria
Web,requisitos para traslado a inicial 5 años. Postulante: Pedro.,requisitos para traslado a inicial 5 anos postulante pedro
Email,Solicito información de pensiones y detalles para inicial 4 años. Atte: Elena.,solicito informacion de pensiones y detalles para inicial 4 anos atte elena
Web,partidas para traslado a inicial 4 años. Postulante: Thiago.,partidas para traslado a inicial 4 anos postulante thiago
Web,<p><b>entrevistas de admision para 1ero secundaria. Mi menor es Maria.</b></p>,entrevistas de admision para 1ero secundaria mi menor es maria
WhatsApp,Hola hay espacios para primer año? Mi niño se llama Gabriel.,hola hay espacios para primer ano mi nino se llama gabriel
WhatsApp,HOLA HAY LUGARES PARA 1ERO PRIMARIA? MI NIÑO SE LLAMA THIAGO.,hola hay lugares para 1ero primaria mi nino se llama thiago
WhatsApp,Saber si hay espacios en inicial 5 años para Thiago. Gracias.,saber si hay espacios en inicial 5 anos para thiago gracias
Web,papeles para traslado a 6to primaria. Postulante: Nicolas.,papeles para traslado a 6to primaria postulante nicolas
WhatsApp,Saber si hay vacantes en inicial 3 años para Nicolas. Gracias.,saber si hay vacantes en inicial 3 anos para nicolas gracias
Web,requisitos para traslado a inicial 4 años. Postulante: Luis.,requisitos para traslado a inicial 4 anos postulante luis
Web,cronograma de admision para 5to secundaria. Mi menor es Ana.,cronograma de admision para 5to secundaria mi menor es ana
WhatsApp,<p><b>Saber si hay lugares en primer año para Camila. Gracias.</b></p>,saber si hay lugares en primer ano para camila gracias
Web,papeles para traslado a 1ero secundaria. Postulante: Gabriel.,papeles para traslado a 1ero secundaria postulante gabriel
Web,documentación para traslado a 5to secundaria. Postulante: Valentina.,documentacion para traslado a 5to secundaria postulante valentina
Web,<p><b>cronograma de admision para 1ero secundaria. Mi menor es Maria.</b></p>,cronograma de admision para 1ero secundaria mi menor es maria
WhatsApp,<p><b>Hola hay cupos para 5to secundaria? Mi niño se llama Maria.</b></p>,hola hay cupos para 5to secundaria mi nino se llama maria
Email,Solicito información de costos y detalles para 1ero secundaria. Atte: Pedro.,solicito informacion de costos y detalles para 1ero secundaria atte pedro
Web,documentación para traslado a 6to primaria. Postulante: Luis.,documentacion para traslado a 6to primaria postulante luis
Email,"ESTIMADOS, QUISIERA SABER LOS PAGOS DE INICIAL 5 AÑOS PARA MI HIJO JUAN.",estimados quisiera saber los pagos de inicial 5 anos para mi hijo juan
Web,PARTIDAS PARA TRASLADO A SECUNDARIA. POSTULANTE: PEDRO.,partidas para traslado a secundaria postulante pedro
Web,<p><b>entrevistas de admision para 5to secundaria. Mi menor es Nicolas.</b></p>,entrevistas de admision para 5to secundaria mi menor es nicolas
Email,"Estimados, quisiera saber los mensualidad de 5to secundaria para mi hijo Elena.",estimados quisiera saber los mensualidad de 5to secundaria para mi hijo elena
Web,papeles para traslado a 6to primaria. Postulante: Valentina.,papeles para traslado a 6to primaria postulante valentina
Web,citas de admision para inicial 3 años. Mi menor es Pedro.,citas de admision para inicial 3 anos mi menor es pedro
WhatsApp,Saber si hay cupos en secundaria para Lucia. Gracias.,saber si hay cupos en secundaria para lucia gracias
WhatsApp,<p><b>Hola hay lugares para 5to secundaria? Mi niño se llama Lucia.</b></p>,hola hay lugares para 5to secundaria mi nino se llama lucia
Email,<p><b>Solicito información de pensiones y detalles para 5to secundaria. Atte: Sebastian.</b></p>,solicito informacion de pensiones y detalles para 5to secundaria atte sebastian
Email,"<p><b>Estimados, quisiera saber los pagos de 1ero secundaria para mi hijo Lucia.</b></p>",estimados quisiera saber los pagos de 1ero secundaria para mi hijo lucia
Web,reunión de admision para 5to secundaria. Mi menor es Luis.,reunion de admision para 5to secundaria mi menor es luis
Web,reunión de admision para 6to primaria. Mi menor es Nicolas.,reunion de admision para 6to primaria mi menor es nicolas
WhatsApp,Hola hay espacios para inicial 4 años? Mi niño se llama Sofia.,hola hay espacios para inicial 4 anos mi nino se llama sofia
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para inicial 4 años? Mi niño se llama Pedro.</b></p>,hola hay disponibilidad de ingreso para inicial 4 anos mi nino se llama pedro
Web,CHARLAS DE ADMISION PARA PRIMER AÑO. MI MENOR ES LUCIA.,charlas de admision para primer ano mi menor es lucia
Email,Solicito información de mensualidad y detalles para secundaria. Atte: Luis.,solicito informacion de mensualidad y detalles para secundaria atte luis
Email,Solicito información de pensiones y detalles para inicial 3 años. Atte: Valentina.,solicito informacion de pensiones y detalles para inicial 3 anos atte valentina
Email,Solicito información de cuotas y detalles para 1ero primaria. Atte: Gabriel.,solicito informacion de cuotas y detalles para 1ero primaria atte gabriel
WhatsApp,Saber si hay espacios en primer grado para Sebastian. Gracias.,saber si hay espacios en primer grado para sebastian gracias
WhatsApp,Saber si hay lugares en primer año para Sebastian. Gracias.,saber si hay lugares en primer ano para sebastian gracias
Web,entrevistas de admision para 1ero secundaria. Mi menor es Valentina.,entrevistas de admision para 1ero secundaria mi menor es valentina
Email,"ESTIMADOS, QUISIERA SABER LOS PAGOS DE INICIAL 3 AÑOS PARA MI HIJO THIAGO.",estimados quisiera saber los pagos de inicial 3 anos para mi hijo thiago
Email,"<p><b>Estimados, quisiera saber los pagos de 6to primaria para mi hijo Ana.</b></p>",estimados quisiera saber los pagos de 6to primaria para mi hijo ana
Web,<p><b>citas de admision para inicial 4 años. Mi menor es Luis.</b></p>,citas de admision para inicial 4 anos mi menor es luis
WhatsApp,HOLA HAY LUGARES PARA INICIAL 3 AÑOS? MI NIÑO SE LLAMA GABRIEL.,hola hay lugares para inicial 3 anos mi nino se llama gabriel
WhatsApp,Hola hay cupos para 1ero secundaria? Mi niño se llama Gabriel.,hola hay cupos para 1ero secundaria mi nino se llama gabriel
Email,"ESTIMADOS, QUISIERA SABER LOS MENSUALIDAD DE PRIMER GRADO PARA MI HIJO CAMILA.",estimados quisiera saber los mensualidad de primer grado para mi hijo camila
Email,"Estimados, quisiera saber los costos de secundaria para mi hijo Sofia.",estimados quisiera saber los costos de secundaria para mi hijo sofia
Web,documentos para traslado a inicial 4 años. Postulante: Nicolas.,documentos para traslado a inicial 4 anos postulante nicolas
Web,citas de admision para primer grado. Mi menor es Nicolas.,citas de admision para primer grado mi menor es nicolas
Web,<p><b>charlas de admision para inicial 3 años. Mi menor es Valentina.</b></p>,charlas de admision para inicial 3 anos mi menor es valentina
Web,papeles para traslado a inicial 3 años. Postulante: Valentina.,papeles para traslado a inicial 3 anos postulante valentina
Email,Solicito información de precios y detalles para 5to secundaria. Atte: Pedro.,solicito informacion de precios y detalles para 5to secundaria atte pedro
WhatsApp,SABER SI HAY ESPACIOS EN 1ERO PRIMARIA PARA ELENA. GRACIAS.,saber si hay espacios en 1ero primaria para elena gracias
Email,Solicito información de cuotas y detalles para inicial 5 años. Atte: Nicolas.,solicito informacion de cuotas y detalles para inicial 5 anos atte nicolas
Email,SOLICITO INFORMACIÓN DE PRECIOS Y DETALLES PARA 5TO SECUNDARIA. ATTE: ANA.,solicito informacion de precios y detalles para 5to secundaria atte ana
Email,"Estimados, quisiera saber los pensiones de 1ero secundaria para mi hijo Camila.",estimados quisiera saber los pensiones de 1ero secundaria para mi hijo camila
Email,<p><b>Solicito información de cuotas y detalles para 6to primaria. Atte: Ana.</b></p>,solicito informacion de cuotas y detalles para 6to primaria atte ana
Web,documentación para traslado a primer grado. Postulante: Sebastian.,documentacion para traslado a primer grado postulante sebastian
Email,SOLICITO INFORMACIÓN DE PAGOS Y DETALLES PARA SECUNDARIA. ATTE: GABRIEL.,solicito informacion de pagos y detalles para secundaria atte gabriel
Email,"Estimados, quisiera saber los precios de primer grado para mi hijo Maria.",estimados quisiera saber los precios de primer grado para mi hijo maria
Web,<p><b>ficha de matrícula para traslado a 1ero primaria. Postulante: Mateo.</b></p>,ficha de matricula para traslado a 1ero primaria postulante mateo
Email,Solicito información de pagos y detalles para inicial 5 años. Atte: Mateo.,solicito informacion de pagos y detalles para inicial 5 anos atte mateo
WhatsApp,<p><b>Hola hay lugares para inicial 5 años? Mi niño se llama Juan.</b></p>,hola hay lugares para inicial 5 anos mi nino se llama juan
Email,Solicito información de costos y detalles para secundaria. Atte: Maria.,solicito informacion de costos y detalles para secundaria atte maria
WhatsApp,Hola hay vacantes para primer grado? Mi niño se llama Sebastian.,hola hay vacantes para primer grado mi nino se llama sebastian
Web,<p><b>documentos para traslado a inicial 3 años. Postulante: Gabriel.</b></p>,documentos para traslado a inicial 3 anos postulante gabriel
Email,"Estimados, quisiera saber los pensiones de 5to secundaria para mi hijo Ana.",estimados quisiera saber los pensiones de 5to secundaria para mi hijo ana
WhatsApp,SABER SI HAY VACANTES EN SECUNDARIA PARA CAMILA. GRACIAS.,saber si hay vacantes en secundaria para camila gracias
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Pedro.",estimados quisiera saber los precios de inicial 3 anos para mi hijo pedro
Email,"Estimados, quisiera saber los mensualidad de 5to secundaria para mi hijo Luis.",estimados quisiera saber los mensualidad de 5to secundaria para mi hijo luis
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA 5TO SECUNDARIA. ATTE: LUIS.,solicito informacion de cuotas y detalles para 5to secundaria atte luis
Email,"Estimados, quisiera saber los cuotas de 6to primaria para mi hijo Nicolas.",estimados quisiera saber los cuotas de 6to primaria para mi hijo nicolas
Web,requisitos para traslado a inicial 5 años. Postulante: Thiago.,requisitos para traslado a inicial 5 anos postulante thiago
Web,entrevistas de admision para primer año. Mi menor es Camila.,entrevistas de admision para primer ano mi menor es camila
WhatsApp,Hola hay lugares para primer año? Mi niño se llama Nicolas.,hola hay lugares para primer ano mi nino se llama nicolas
WhatsApp,Hola hay espacios para 5to secundaria? Mi niño se llama Gabriel.,hola hay espacios para 5to secundaria mi nino se llama gabriel
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Valentina.",estimados quisiera saber los precios de 1ero secundaria para mi hijo valentina
Email,Solicito información de pagos y detalles para inicial 3 años. Atte: Pedro.,solicito informacion de pagos y detalles para inicial 3 anos atte pedro
WhatsApp,Hola hay disponibilidad de ingreso para 5to secundaria? Mi niño se llama Elena.,hola hay disponibilidad de ingreso para 5to secundaria mi nino se llama elena
Email,"Estimados, quisiera saber los pensiones de inicial 3 años para mi hijo Thiago.",estimados quisiera saber los pensiones de inicial 3 anos para mi hijo thiago
WhatsApp,Saber si hay cupos en 1ero primaria para Valentina. Gracias.,saber si hay cupos en 1ero primaria para valentina gracias
Email,<p><b>Solicito información de precios y detalles para 1ero primaria. Atte: Mateo.</b></p>,solicito informacion de precios y detalles para 1ero primaria atte mateo
WhatsApp,HOLA HAY CUPOS PARA SECUNDARIA? MI NIÑO SE LLAMA CAMILA.,hola hay cupos para secundaria mi nino se llama camila
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA INICIAL 5 AÑOS. ATTE: NICOLAS.,solicito informacion de costos y detalles para inicial 5 anos atte nicolas
WhatsApp,HOLA HAY VACANTES PARA INICIAL 3 AÑOS? MI NIÑO SE LLAMA LUCIA.,hola hay vacantes para inicial 3 anos mi nino se llama lucia
Web,PARTIDAS PARA TRASLADO A 1ERO SECUNDARIA. POSTULANTE: MARIA.,partidas para traslado a 1ero secundaria postulante maria
Web,charlas de admision para inicial 4 años. Mi menor es Thiago.,charlas de admision para inicial 4 anos mi menor es thiago
Email,Solicito información de precios y detalles para inicial 5 años. Atte: Sebastian.,solicito informacion de precios y detalles para inicial 5 anos atte sebastian
Web,reunión de admision para inicial 5 años. Mi menor es Luis.,reunion de admision para inicial 5 anos mi menor es luis
Email,SOLICITO INFORMACIÓN DE PRECIOS Y DETALLES PARA PRIMER AÑO. ATTE: ELENA.,solicito informacion de precios y detalles para primer ano atte elena
Web,DOCUMENTOS PARA TRASLADO A SECUNDARIA. POSTULANTE: LUCIA.,documentos para traslado a secundaria postulante lucia
WhatsApp,<p><b>Hola hay vacantes para primer año? Mi niño se llama Mateo.</b></p>,hola hay vacantes para primer ano mi nino se llama mateo
Email,"Estimados, quisiera saber los pensiones de inicial 3 años para mi hijo Gabriel.",estimados quisiera saber los pensiones de inicial 3 anos para mi hijo gabriel
Web,entrevistas de admision para secundaria. Mi menor es Maria.,entrevistas de admision para secundaria mi menor es maria
WhatsApp,Saber si hay vacantes en 5to secundaria para Lucia. Gracias.,saber si hay vacantes en 5to secundaria para lucia gracias
WhatsApp,Hola hay espacios para 6to primaria? Mi niño se llama Juan.,hola hay espacios para 6to primaria mi nino se llama juan
WhatsApp,<p><b>Saber si hay lugares en inicial 5 años para Mateo. Gracias.</b></p>,saber si hay lugares en inicial 5 anos para mateo gracias
Email,Solicito información de cuotas y detalles para primer año. Atte: Pedro.,solicito informacion de cuotas y detalles para primer ano atte pedro
Email,Solicito información de precios y detalles para 1ero primaria. Atte: Maria.,solicito informacion de precios y detalles para 1ero primaria atte maria
Web,<p><b>entrevistas de admision para primer grado. Mi menor es Nicolas.</b></p>,entrevistas de admision para primer grado mi menor es nicolas
Email,Solicito información de precios y detalles para inicial 5 años. Atte: Nicolas.,solicito informacion de precios y detalles para inicial 5 anos atte nicolas
WhatsApp,Hola hay espacios para secundaria? Mi niño se llama Thiago.,hola hay espacios para secundaria mi nino se llama thiago
WhatsApp,<p><b>Hola hay espacios para inicial 4 años? Mi niño se llama Valentina.</b></p>,hola hay espacios para inicial 4 anos mi nino se llama valentina
Web,CITAS DE ADMISION PARA 1ERO SECUNDARIA. MI MENOR ES MARIA.,citas de admision para 1ero secundaria mi menor es maria
WhatsApp,Hola hay espacios para primer año? Mi niño se llama Thiago.,hola hay espacios para primer ano mi nino se llama thiago
Web,charlas de admision para secundaria. Mi menor es Juan.,charlas de admision para secundaria mi menor es juan
WhatsApp,<p><b>Saber si hay espacios en 5to secundaria para Pedro. Gracias.</b></p>,saber si hay espacios en 5to secundaria para pedro gracias
Web,requisitos para traslado a inicial 4 años. Postulante: Ana.,requisitos para traslado a inicial 4 anos postulante ana
Email,"Estimados, quisiera saber los mensualidad de inicial 5 años para mi hijo Ana.",estimados quisiera saber los mensualidad de inicial 5 anos para mi hijo ana
Web,entrevistas de admision para 5to secundaria. Mi menor es Lucia.,entrevistas de admision para 5to secundaria mi menor es lucia
WhatsApp,HOLA HAY LUGARES PARA 1ERO PRIMARIA? MI NIÑO SE LLAMA ANA.,hola hay lugares para 1ero primaria mi nino se llama ana
Email,Solicito información de pagos y detalles para inicial 4 años. Atte: Gabriel.,solicito informacion de pagos y detalles para inicial 4 anos atte gabriel
Email,"Estimados, quisiera saber los pensiones de 6to primaria para mi hijo Thiago.",estimados quisiera saber los pensiones de 6to primaria para mi hijo thiago
WhatsApp,Hola hay disponibilidad de ingreso para primer año? Mi niño se llama Sofia.,hola hay disponibilidad de ingreso para primer ano mi nino se llama sofia
Email,"Estimados, quisiera saber los cuotas de secundaria para mi hijo Pedro.",estimados quisiera saber los cuotas de secundaria para mi hijo pedro
WhatsApp,<p><b>Saber si hay cupos en 1ero secundaria para Elena. Gracias.</b></p>,saber si hay cupos en 1ero secundaria para elena gracias
Email,"<p><b>Estimados, quisiera saber los cuotas de 5to secundaria para mi hijo Nicolas.</b></p>",estimados quisiera saber los cuotas de 5to secundaria para mi hijo nicolas
WhatsApp,<p><b>Hola hay espacios para primer grado? Mi niño se llama Camila.</b></p>,hola hay espacios para primer grado mi nino se llama camila
WhatsApp,Saber si hay cupos en inicial 3 años para Maria. Gracias.,saber si hay cupos en inicial 3 anos para maria gracias
Email,Solicito información de pensiones y detalles para inicial 3 años. Atte: Sofia.,solicito informacion de pensiones y detalles para inicial 3 anos atte sofia
WhatsApp,<p><b>Hola hay cupos para primer año? Mi niño se llama Lucia.</b></p>,hola hay cupos para primer ano mi nino se llama lucia
Web,CITAS DE ADMISION PARA PRIMER GRADO. MI MENOR ES VALENTINA.,citas de admision para primer grado mi menor es valentina
Web,<p><b>partidas para traslado a 1ero primaria. Postulante: Thiago.</b></p>,partidas para traslado a 1ero primaria postulante thiago
Web,entrevistas de admision para primer grado. Mi menor es Luis.,entrevistas de admision para primer grado mi menor es luis
Email,"Estimados, quisiera saber los pagos de 6to primaria para mi hijo Elena.",estimados quisiera saber los pagos de 6to primaria para mi hijo elena
WhatsApp,Saber si hay disponibilidad de ingreso en 1ero primaria para Mateo. Gracias.,saber si hay disponibilidad de ingreso en 1ero primaria para mateo gracias
Email,<p><b>Solicito información de precios y detalles para primer grado. Atte: Camila.</b></p>,solicito informacion de precios y detalles para primer grado atte camila
Email,Solicito información de costos y detalles para inicial 5 años. Atte: Mateo.,solicito informacion de costos y detalles para inicial 5 anos atte mateo
Web,DOCUMENTOS PARA TRASLADO A 1ERO SECUNDARIA. POSTULANTE: THIAGO.,documentos para traslado a 1ero secundaria postulante thiago
WhatsApp,HOLA HAY CUPOS PARA 1ERO SECUNDARIA? MI NIÑO SE LLAMA THIAGO.,hola hay cupos para 1ero secundaria mi nino se llama thiago
Web,entrevistas de admision para 1ero primaria. Mi menor es Lucia.,entrevistas de admision para 1ero primaria mi menor es lucia
Web,documentos para traslado a inicial 5 años. Postulante: Elena.,documentos para traslado a inicial 5 anos postulante elena
WhatsApp,Saber si hay lugares en 6to primaria para Mateo. Gracias.,saber si hay lugares en 6to primaria para mateo gracias
Web,citas de admision para primer año. Mi menor es Valentina.,citas de admision para primer ano mi menor es valentina
WhatsApp,Hola hay vacantes para 5to secundaria? Mi niño se llama Luis.,hola hay vacantes para 5to secundaria mi nino se llama luis
Email,Solicito información de costos y detalles para 1ero secundaria. Atte: Luis.,solicito informacion de costos y detalles para 1ero secundaria atte luis
Web,requisitos para traslado a 1ero primaria. Postulante: Maria.,requisitos para traslado a 1ero primaria postulante maria
WhatsApp,<p><b>Saber si hay espacios en primer año para Gabriel. Gracias.</b></p>,saber si hay espacios en primer ano para gabriel gracias
Web,entrevistas de admision para 1ero primaria. Mi menor es Mateo.,entrevistas de admision para 1ero primaria mi menor es mateo
