fuente,contenido
Email,"Estimados, quisiera saber los cuotas de 5to secundaria para mi hijo Ana."
WhatsApp,Saber si hay cupos en inicial 3 años para Maria. Gracias.
WhatsApp,Hola hay espacios para primer año? Mi niño se llama Thiago.
Web,entrevistas de admision para inicial 5 años. Mi menor es Sebastian.
Web,charlas de admision para inicial 4 años. Mi menor es Camila.
Web,CRONOGRAMA DE ADMISION PARA SECUNDARIA. MI MENOR ES CAMILA.
WhatsApp,HOLA HAY ESPACIOS PARA 1ERO PRIMARIA? MI NIÑO SE LLAMA ANA.
Web,CITAS DE ADMISION PARA 1ERO SECUNDARIA. MI MENOR ES MATEO.
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en 1ero secundaria para Sebastian. Gracias.</b></p>
WhatsApp,Hola hay espacios para primer año? Mi niño se llama Juan.
Web,documentos para traslado a 1ero primaria. Postulante: Maria.
Email,Solicito información de pagos y detalles para inicial 4 años. Atte: Valentina.
WhatsApp,Hola hay cupos para secundaria? Mi niño se llama Mateo.
Web,papeles para traslado a inicial 5 años. Postulante: Elena.
WhatsApp,Hola hay vacantes para inicial 3 años? Mi niño se llama Valentina.
Email,"ESTIMADOS, QUISIERA SABER LOS PENSIONES DE INICIAL 5 AÑOS PARA MI HIJO MARIA."
Email,"Estimados, quisiera saber los pagos de primer grado para mi hijo Luis."
WhatsApp,Hola hay vacantes para inicial 5 años? Mi niño se llama Elena.
WhatsApp,Hola hay lugares para 1ero secundaria? Mi niño se llama Pedro.
Email,Solicito información de precios y detalles para 1ero secundaria. Atte: Gabriel.
Web,documentación para traslado a 6to primaria. Postulante: Camila.
WhatsApp,<p><b>Hola hay cupos para inicial 3 años? Mi niño se llama Gabriel.</b></p>
Email,"Estimados, quisiera saber los pagos de inicial 5 años para mi hijo Nicolas."
WhatsApp,Saber si hay lugares en 1ero primaria para Camila. Gracias.
Email,Solicito información de cuotas y detalles para primer grado. Atte: Pedro.
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en inicial 3 años para Mateo. Gracias.</b></p>
Web,REQUISITOS PARA TRASLADO A PRIMER AÑO. POSTULANTE: ANA.
WhatsApp,SABER SI HAY ESPACIOS EN PRIMER GRADO PARA MATEO. GRACIAS.
WhatsApp,Saber si hay espacios en 5to secundaria para Luis. Gracias.
WhatsApp,<p><b>Saber si hay vacantes en primer grado para Camila. Gracias.</b></p>
Email,"Estimados, quisiera saber los pagos de primer grado para mi hijo Thiago."
Email,SOLICITO INFORMACIÓN DE MENSUALIDAD Y DETALLES PARA 6TO PRIMARIA. ATTE: PEDRO.
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Pedro."
WhatsApp,<p><b>Saber si hay vacantes en 6to primaria para Maria. Gracias.</b></p>
WhatsApp,<p><b>Hola hay lugares para primer año? Mi niño se llama Maria.</b></p>
Email,Solicito información de mensualidad y detalles para 6to primaria. Atte: Maria.
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para 1ero secundaria? Mi niño se llama Mateo.</b></p>
Web,citas de admision para inicial 5 años. Mi menor es Sofia.
Web,entrevistas de admision para primer grado. Mi menor es Camila.
Web,DOCUMENTOS PARA TRASLADO A PRIMER AÑO. POSTULANTE: SEBASTIAN.
Web,citas de admision para 1ero primaria. Mi menor es Camila.
Web,<p><b>documentación para traslado a primer grado. Postulante: Mateo.</b></p>
Web,documentos para traslado a 1ero primaria. Postulante: Valentina.
Web,<p><b>papeles para traslado a 5to secundaria. Postulante: Elena.</b></p>
Web,entrevistas de admision para inicial 5 años. Mi menor es Sebastian.
WhatsApp,Hola hay lugares para 1ero secundaria? Mi niño se llama Gabriel.
WhatsApp,HOLA HAY VACANTES PARA 6TO PRIMARIA? MI NIÑO SE LLAMA SEBASTIAN.
WhatsApp,Saber si hay vacantes en inicial 5 años para Luis. Gracias.
Web,reunión de admision para inicial 4 años. Mi menor es Juan.
Web,papeles para traslado a secundaria. Postulante: Maria.
WhatsApp,Saber si hay lugares en primer año para Valentina. Gracias.
Email,Solicito información de cuotas y detalles para 1ero secundaria. Atte: Mateo.
Email,Solicito información de cuotas y detalles para 5to secundaria. Atte: Sofia.
WhatsApp,Saber si hay vacantes en inicial 5 años para Camila. Gracias.
Email,Solicito información de costos y detalles para primer año. Atte: Nicolas.
Email,Solicito información de cuotas y detalles para inicial 5 años. Atte: Valentina.
WhatsApp,Saber si hay espacios en 1ero secundaria para Lucia. Gracias.
Web,entrevistas de admision para 5to secundaria. Mi menor es Nicolas.
WhatsApp,Hola hay espacios para 6to primaria? Mi niño se llama Pedro.
Email,SOLICITO INFORMACIÓN DE PRECIOS Y DETALLES PARA INICIAL 5 AÑOS. ATTE: NICOLAS.
WhatsApp,Saber si hay cupos en 1ero primaria para Gabriel. Gracias.
Email,Solicito información de precios y detalles para inicial 5 años. Atte: Sofia.
WhatsApp,<p><b>Hola hay lugares para inicial 5 años? Mi niño se llama Pedro.</b></p>
Web,papeles para traslado a 6to primaria. Postulante: Gabriel.
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Maria."
Email,Solicito información de costos y detalles para 6to primaria. Atte: Maria.
Email,<p><b>Solicito información de pensiones y detalles para inicial 3 años. Atte: Lucia.</b></p>
Web,<p><b>citas de admision para 6to primaria. Mi menor es Elena.</b></p>
Web,partidas para traslado a primer año. Postulante: Pedro.
Email,Solicito información de precios y detalles para secundaria. Atte: Ana.
WhatsApp,<p><b>Saber si hay espacios en primer año para Camila. Gracias.</b></p>
Email,Solicito información de pagos y detalles para primer grado. Atte: Thiago.
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para 1ero secundaria? Mi niño se llama Elena.</b></p>
Email,Solicito información de costos y detalles para 5to secundaria. Atte: Gabriel.
Web,documentación para traslado a inicial 3 años. Postulante: Pedro.
Email,Solicito información de precios y detalles para primer grado. Atte: Lucia.
Web,FICHA DE MATRÍCULA PARA TRASLADO A 6TO PRIMARIA. POSTULANTE: VALENTINA.
Web,charlas de admision para 5to secundaria. Mi menor es Juan.
Email,<p><b>Solicito información de mensualidad y detalles para 5to secundaria. Atte: Nicolas.</b></p>
WhatsApp,Hola hay cupos para inicial 3 años? Mi niño se llama Lucia.
Web,papeles para traslado a inicial 5 años. Postulante: Lucia.
Web,documentación para traslado a primer grado. Postulante: Thiago.
Web,<p><b>reunión de admision para inicial 5 años. Mi menor es Pedro.</b></p>
WhatsApp,<p><b>Hola hay lugares para 5to secundaria? Mi niño se llama Luis.</b></p>
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para 1ero secundaria? Mi niño se llama Camila.</b></p>
Email,SOLICITO INFORMACIÓN DE PAGOS Y DETALLES PARA SECUNDARIA. ATTE: GABRIEL.
WhatsApp,Hola hay lugares para primer año? Mi niño se llama Nicolas.
Email,"Estimados, quisiera saber los pagos de inicial 4 años para mi hijo Luis."
Web,requisitos para traslado a inicial 3 años. Postulante: Thiago.
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN 1ERO PRIMARIA PARA CAMILA. GRACIAS.
WhatsApp,Hola hay espacios para 1ero primaria? Mi niño se llama Gabriel.
Web,ENTREVISTAS DE ADMISION PARA INICIAL 4 AÑOS. MI MENOR ES JUAN.
WhatsApp,SABER SI HAY ESPACIOS EN 5TO SECUNDARIA PARA CAMILA. GRACIAS.
WhatsApp,<p><b>Saber si hay espacios en inicial 5 años para Juan. Gracias.</b></p>
Email,"Estimados, quisiera saber los pagos de primer año para mi hijo Lucia."
WhatsApp,Hola hay lugares para secundaria? Mi niño se llama Valentina.
Web,ficha de matrícula para traslado a inicial 5 años. Postulante: Pedro.
WhatsApp,<p><b>Saber si hay vacantes en inicial 3 años para Thiago. Gracias.</b></p>
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Camila."
Email,"Estimados, quisiera saber los costos de inicial 5 años para mi hijo Nicolas."
Web,<p><b>requisitos para traslado a inicial 3 años. Postulante: Camila.</b></p>
WhatsApp,Saber si hay lugares en secundaria para Gabriel. Gracias.
Web,REUNIÓN DE ADMISION PARA 1ERO SECUNDARIA. MI MENOR ES LUCIA.
Web,cronograma de admision para inicial 3 años. Mi menor es Elena.
Web,<p><b>requisitos para traslado a primer grado. Postulante: Mateo.</b></p>
Email,"<p><b>Estimados, quisiera saber los mensualidad de 1ero primaria para mi hijo Sofia.</b></p>"
WhatsApp,<p><b>Hola hay cupos para 1ero primaria? Mi niño se llama Thiago.</b></p>
Web,charlas de admision para inicial 5 años. Mi menor es Luis.
Email,"<p><b>Estimados, quisiera saber los mensualidad de 5to secundaria para mi hijo Sofia.</b></p>"
WhatsApp,Saber si hay espacios en inicial 3 años para Luis. Gracias.
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Nicolas."
Web,charlas de admision para 1ero secundaria. Mi menor es Gabriel.
Email,"Estimados, quisiera saber los pagos de inicial 4 años para mi hijo Luis."
Web,papeles para traslado a primer grado. Postulante: Gabriel.
Web,documentación para traslado a 1ero primaria. Postulante: Sebastian.
Email,"Estimados, quisiera saber los pensiones de inicial 4 años para mi hijo Ana."
Web,documentación para traslado a inicial 5 años. Postulante: Thiago.
Web,partidas para traslado a primer año. Postulante: Luis.
Email,Solicito información de pensiones y detalles para 1ero secundaria. Atte: Ana.
WhatsApp,Saber si hay disponibilidad de ingreso en inicial 5 años para Elena. Gracias.
Email,SOLICITO INFORMACIÓN DE PAGOS Y DETALLES PARA 1ERO SECUNDARIA. ATTE: NICOLAS.
WhatsApp,Hola hay cupos para 6to primaria? Mi niño se llama Nicolas.
Web,citas de admision para inicial 4 años. Mi menor es Thiago.
WhatsApp,Saber si hay cupos en 6to primaria para Ana. Gracias.
WhatsApp,Saber si hay lugares en 6to primaria para Camila. Gracias.
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en 5to secundaria para Ana. Gracias.</b></p>
WhatsApp,<p><b>Saber si hay espacios en 6to primaria para Gabriel. Gracias.</b></p>
WhatsApp,Hola hay disponibilidad de ingreso para inicial 3 años? Mi niño se llama Nicolas.
Web,REUNIÓN DE ADMISION PARA INICIAL 4 AÑOS. MI MENOR ES LUIS.
WhatsApp,Hola hay cupos para inicial 3 años? Mi niño se llama Ana.
Web,reunión de admision para primer grado. Mi menor es Luis.
WhatsApp,Hola hay disponibilidad de ingreso para 6to primaria? Mi niño se llama Sofia.
WhatsApp,HOLA HAY CUPOS PARA INICIAL 4 AÑOS? MI NIÑO SE LLAMA MARIA.
Web,documentos para traslado a 1ero secundaria. Postulante: Gabriel.
WhatsApp,<p><b>Saber si hay vacantes en secundaria para Maria. Gracias.</b></p>
WhatsApp,Hola hay cupos para primer grado? Mi niño se llama Luis.
WhatsApp,Saber si hay cupos en inicial 5 años para Mateo. Gracias.
WhatsApp,<p><b>Saber si hay vacantes en 5to secundaria para Sofia. Gracias.</b></p>
Web,CITAS DE ADMISION PARA 1ERO PRIMARIA. MI MENOR ES CAMILA.
Web,citas de admision para inicial 5 años. Mi menor es Elena.
Web,documentos para traslado a 6to primaria. Postulante: Elena.
Web,ENTREVISTAS DE ADMISION PARA INICIAL 5 AÑOS. MI MENOR ES ANA.
Email,"Estimados, quisiera saber los mensualidad de inicial 3 años para mi hijo Ana."
WhatsApp,Hola hay cupos para inicial 5 años? Mi niño se llama Luis.
WhatsApp,Saber si hay vacantes en 1ero primaria para Elena. Gracias.
Email,"Estimados, quisiera saber los cuotas de 5to secundaria para mi hijo Lucia."
Email,"Estimados, quisiera saber los costos de 6to primaria para mi hijo Gabriel."
Email,"Estimados, quisiera saber los costos de primer grado para mi hijo Pedro."
Web,requisitos para traslado a secundaria. Postulante: Luis.
WhatsApp,Saber si hay disponibilidad de ingreso en secundaria para Lucia. Gracias.
Web,ficha de matrícula para traslado a 1ero primaria. Postulante: Elena.
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN 6TO PRIMARIA PARA LUCIA. GRACIAS.
Email,<p><b>Solicito información de pensiones y detalles para 6to primaria. Atte: Nicolas.</b></p>
Email,"Estimados, quisiera saber los costos de 6to primaria para mi hijo Ana."
Email,Solicito información de cuotas y detalles para 1ero secundaria. Atte: Ana.
Email,"Estimados, quisiera saber los precios de primer grado para mi hijo Pedro."
Email,Solicito información de precios y detalles para primer grado. Atte: Luis.
WhatsApp,Saber si hay vacantes en 6to primaria para Mateo. Gracias.
WhatsApp,HOLA HAY ESPACIOS PARA 1ERO SECUNDARIA? MI NIÑO SE LLAMA VALENTINA.
WhatsApp,SABER SI HAY VACANTES EN 6TO PRIMARIA PARA CAMILA. GRACIAS.
WhatsApp,SABER SI HAY CUPOS EN SECUNDARIA PARA CAMILA. GRACIAS.
Web,citas de admision para inicial 3 años. Mi menor es Gabriel.
WhatsApp,<p><b>Saber si hay lugares en primer año para Elena. Gracias.</b></p>
WhatsApp,<p><b>Saber si hay vacantes en inicial 5 años para Luis. Gracias.</b></p>
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Luis.
Web,cronograma de admision para inicial 3 años. Mi menor es Maria.
Email,"<p><b>Estimados, quisiera saber los costos de inicial 3 años para mi hijo Juan.</b></p>"
Email,Solicito información de pensiones y detalles para primer grado. Atte: Mateo.
Web,citas de admision para 5to secundaria. Mi menor es Maria.
WhatsApp,<p><b>Hola hay vacantes para inicial 3 años? Mi niño se llama Sofia.</b></p>
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA 6TO PRIMARIA. ATTE: NICOLAS.
Email,"Estimados, quisiera saber los cuotas de 6to primaria para mi hijo Luis."
WhatsApp,<p><b>Hola hay cupos para 1ero primaria? Mi niño se llama Luis.</b></p>
WhatsApp,Saber si hay espacios en 6to primaria para Valentina. Gracias.
Web,PARTIDAS PARA TRASLADO A 1ERO SECUNDARIA. POSTULANTE: VALENTINA.
Web,reunión de admision para primer grado. Mi menor es Thiago.
Email,"<p><b>Estimados, quisiera saber los precios de inicial 3 años para mi hijo Pedro.</b></p>"
Web,entrevistas de admision para secundaria. Mi menor es Luis.
Web,papeles para traslado a 1ero primaria. Postulante: Camila.
Email,<p><b>Solicito información de pagos y detalles para 6to primaria. Atte: Juan.</b></p>
Web,reunión de admision para inicial 4 años. Mi menor es Lucia.
Web,ficha de matrícula para traslado a primer año. Postulante: Pedro.
Web,partidas para traslado a 6to primaria. Postulante: Camila.
WhatsApp,<p><b>Saber si hay lugares en inicial 5 años para Sofia. Gracias.</b></p>
Web,<p><b>charlas de admision para primer grado. Mi menor es Camila.</b></p>
Email,"Estimados, quisiera saber los pensiones de inicial 3 años para mi hijo Sofia."
WhatsApp,Hola hay lugares para 1ero secundaria? Mi niño se llama Sofia.
Web,entrevistas de admision para 6to primaria. Mi menor es Gabriel.
WhatsApp,Saber si hay cupos en 1ero secundaria para Sebastian. Gracias.
Email,<p><b>Solicito información de cuotas y detalles para 1ero primaria. Atte: Pedro.</b></p>
WhatsApp,Saber si hay espacios en secundaria para Mateo. Gracias.
Web,<p><b>charlas de admision para inicial 5 años. Mi menor es Nicolas.</b></p>
Web,DOCUMENTACIÓN PARA TRASLADO A 1ERO PRIMARIA. POSTULANTE: SEBASTIAN.
WhatsApp,<p><b>Hola hay lugares para inicial 4 años? Mi niño se llama Maria.</b></p>
WhatsApp,SABER SI HAY ESPACIOS EN 5TO SECUNDARIA PARA MATEO. GRACIAS.
Web,<p><b>documentación para traslado a secundaria. Postulante: Valentina.</b></p>
Email,"<p><b>Estimados, quisiera saber los precios de inicial 3 años para mi hijo Camila.</b></p>"
Email,Solicito información de costos y detalles para 6to primaria. Atte: Camila.
Web,<p><b>ficha de matrícula para traslado a primer grado. Postulante: Ana.</b></p>
Web,FICHA DE MATRÍCULA PARA TRASLADO A SECUNDARIA. POSTULANTE: VALENTINA.
Email,Solicito información de precios y detalles para secundaria. Atte: Lucia.
Email,"Estimados, quisiera saber los cuotas de primer año para mi hijo Pedro."
Web,documentos para traslado a primer grado. Postulante: Luis.
WhatsApp,Hola hay disponibilidad de ingreso para inicial 5 años? Mi niño se llama Luis.
WhatsApp,Saber si hay espacios en primer año para Mateo. Gracias.
WhatsApp,Saber si hay cupos en inicial 5 años para Lucia. Gracias.
Email,Solicito información de costos y detalles para primer grado. Atte: Gabriel.
Email,"Estimados, quisiera saber los pagos de 1ero secundaria para mi hijo Mateo."
Email,"Estimados, quisiera saber los cuotas de secundaria para mi hijo Sebastian."
WhatsApp,Hola hay espacios para 6to primaria? Mi niño se llama Juan.
Email,"<p><b>Estimados, quisiera saber los mensualidad de primer año para mi hijo Pedro.</b></p>"
Email,"ESTIMADOS, QUISIERA SABER LOS COSTOS DE 1ERO SECUNDARIA PARA MI HIJO LUIS."
Email,"<p><b>Estimados, quisiera saber los cuotas de 1ero secundaria para mi hijo Mateo.</b></p>"
WhatsApp,Saber si hay lugares en primer año para Pedro. Gracias.
WhatsApp,<p><b>Saber si hay lugares en 6to primaria para Nicolas. Gracias.</b></p>
Email,"ESTIMADOS, QUISIERA SABER LOS MENSUALIDAD DE INICIAL 4 AÑOS PARA MI HIJO LUCIA."
Web,<p><b>documentos para traslado a primer grado. Postulante: Sofia.</b></p>
Email,"ESTIMADOS, QUISIERA SABER LOS PAGOS DE PRIMER AÑO PARA MI HIJO LUCIA."
Email,"Estimados, quisiera saber los pensiones de 5to secundaria para mi hijo Pedro."
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA 1ERO SECUNDARIA. ATTE: GABRIEL.
Web,<p><b>requisitos para traslado a 5to secundaria. Postulante: Sebastian.</b></p>
Web,<p><b>ficha de matrícula para traslado a inicial 4 años. Postulante: Juan.</b></p>
WhatsApp,Hola hay disponibilidad de ingreso para 5to secundaria? Mi niño se llama Nicolas.
Email,"<p><b>Estimados, quisiera saber los pensiones de 1ero secundaria para mi hijo Camila.</b></p>"
WhatsApp,Saber si hay vacantes en primer año para Ana. Gracias.
Email,Solicito información de mensualidad y detalles para 6to primaria. Atte: Mateo.
Email,Solicito información de pensiones y detalles para 6to primaria. Atte: Luis.
WhatsApp,SABER SI HAY CUPOS EN 1ERO SECUNDARIA PARA PEDRO. GRACIAS.
WhatsApp,<p><b>Hola hay lugares para 1ero secundaria? Mi niño se llama Pedro.</b></p>
Email,"Estimados, quisiera saber los costos de secundaria para mi hijo Lucia."
Email,Solicito información de cuotas y detalles para inicial 5 años. Atte: Luis.
Web,CHARLAS DE ADMISION PARA INICIAL 4 AÑOS. MI MENOR ES CAMILA.
Web,documentación para traslado a 5to secundaria. Postulante: Luis.
Web,cronograma de admision para 1ero primaria. Mi menor es Nicolas.
Email,<p><b>Solicito información de pagos y detalles para 5to secundaria. Atte: Sofia.</b></p>
WhatsApp,SABER SI HAY LUGARES EN 1ERO SECUNDARIA PARA VALENTINA. GRACIAS.
WhatsApp,Saber si hay lugares en 5to secundaria para Ana. Gracias.
Email,<p><b>Solicito información de costos y detalles para primer año. Atte: Maria.</b></p>
Web,<p><b>reunión de admision para 5to secundaria. Mi menor es Gabriel.</b></p>
Web,<p><b>papeles para traslado a inicial 5 años. Postulante: Camila.</b></p>
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA INICIAL 4 AÑOS. ATTE: GABRIEL.
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE PRIMER GRADO PARA MI HIJO JUAN."
Web,ENTREVISTAS DE ADMISION PARA 1ERO PRIMARIA. MI MENOR ES PEDRO.
Email,"Estimados, quisiera saber los pagos de inicial 3 años para mi hijo Lucia."
WhatsApp,Hola hay lugares para 1ero secundaria? Mi niño se llama Mateo.
Web,reunión de admision para 5to secundaria. Mi menor es Thiago.
Email,"Estimados, quisiera saber los precios de primer año para mi hijo Gabriel."
WhatsApp,Saber si hay vacantes en inicial 4 años para Luis. Gracias.
Email,"Estimados, quisiera saber los cuotas de inicial 3 años para mi hijo Lucia."
WhatsApp,Saber si hay disponibilidad de ingreso en 1ero primaria para Valentina. Gracias.
Web,citas de admision para inicial 5 años. Mi menor es Maria.
Email,Solicito información de cuotas y detalles para 1ero secundaria. Atte: Maria.
WhatsApp,<p><b>Saber si hay vacantes en 5to secundaria para Sebastian. Gracias.</b></p>
Email,Solicito información de pensiones y detalles para primer grado. Atte: Ana.
WhatsApp,Hola hay lugares para 1ero primaria? Mi niño se llama Camila.
Web,<p><b>documentación para traslado a inicial 5 años. Postulante: Sofia.</b></p>
Email,Solicito información de pensiones y detalles para 5to secundaria. Atte: Elena.
Web,documentos para traslado a primer año. Postulante: Mateo.
Email,"<p><b>Estimados, quisiera saber los pagos de inicial 4 años para mi hijo Gabriel.</b></p>"
WhatsApp,Saber si hay vacantes en 5to secundaria para Ana. Gracias.
WhatsApp,Saber si hay espacios en 1ero primaria para Juan. Gracias.
Web,CHARLAS DE ADMISION PARA 5TO SECUNDARIA. MI MENOR ES CAMILA.
Web,<p><b>documentos para traslado a secundaria. Postulante: Sebastian.</b></p>
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en inicial 5 años para Pedro. Gracias.</b></p>
Web,DOCUMENTOS PARA TRASLADO A PRIMER GRADO. POSTULANTE: GABRIEL.
WhatsApp,<p><b>Saber si hay cupos en 1ero primaria para Elena. Gracias.</b></p>
Web,<p><b>charlas de admision para 6to primaria. Mi menor es Ana.</b></p>
Email,"Estimados, quisiera saber los pagos de primer grado para mi hijo Pedro."
WhatsApp,Hola hay cupos para primer año? Mi niño se llama Juan.
WhatsApp,Hola hay lugares para primer año? Mi niño se llama Elena.
WhatsApp,Saber si hay disponibilidad de ingreso en 5to secundaria para Gabriel. Gracias.
WhatsApp,Hola hay disponibilidad de ingreso para primer año? Mi niño se llama Luis.
Web,partidas para traslado a 5to secundaria. Postulante: Mateo.
Web,<p><b>reunión de admision para primer año. Mi menor es Sofia.</b></p>
Web,citas de admision para 1ero secundaria. Mi menor es Camila.
WhatsApp,Hola hay disponibilidad de ingreso para secundaria? Mi niño se llama Elena.
Email,"ESTIMADOS, QUISIERA SABER LOS MENSUALIDAD DE 1ERO SECUNDARIA PARA MI HIJO JUAN."
WhatsApp,Hola hay espacios para 1ero primaria? Mi niño se llama Maria.
Email,"<p><b>Estimados, quisiera saber los pensiones de primer año para mi hijo Sofia.</b></p>"
WhatsApp,Saber si hay disponibilidad de ingreso en inicial 3 años para Gabriel. Gracias.
WhatsApp,Saber si hay cupos en 5to secundaria para Mateo. Gracias.
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Thiago.
WhatsApp,<p><b>Saber si hay lugares en primer grado para Thiago. Gracias.</b></p>
Email,Solicito información de costos y detalles para primer grado. Atte: Elena.
Email,"Estimados, quisiera saber los mensualidad de primer grado para mi hijo Nicolas."
Email,"Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Juan."
WhatsApp,Hola hay cupos para primer grado? Mi niño se llama Thiago.
WhatsApp,<p><b>Saber si hay espacios en inicial 3 años para Ana. Gracias.</b></p>
Email,"Estimados, quisiera saber los pagos de 6to primaria para mi hijo Juan."
Web,cronograma de admision para inicial 3 años. Mi menor es Lucia.
WhatsApp,HOLA HAY VACANTES PARA 1ERO SECUNDARIA? MI NIÑO SE LLAMA MARIA.
Email,"<p><b>Estimados, quisiera saber los pensiones de 5to secundaria para mi hijo Maria.</b></p>"
Email,"Estimados, quisiera saber los pagos de 5to secundaria para mi hijo Lucia."
Email,<p><b>Solicito información de pagos y detalles para secundaria. Atte: Juan.</b></p>
Email,SOLICITO INFORMACIÓN DE PAGOS Y DETALLES PARA SECUNDARIA. ATTE: ANA.
Email,"Estimados, quisiera saber los pensiones de 5to secundaria para mi hijo Lucia."
Email,SOLICITO INFORMACIÓN DE PAGOS Y DETALLES PARA PRIMER GRADO. ATTE: PEDRO.
WhatsApp,<p><b>Saber si hay lugares en secundaria para Luis. Gracias.</b></p>
Email,"Estimados, quisiera saber los pensiones de inicial 5 años para mi hijo Gabriel."
WhatsApp,SABER SI HAY ESPACIOS EN INICIAL 3 AÑOS PARA SOFIA. GRACIAS.
Email,Solicito información de mensualidad y detalles para inicial 3 años. Atte: Ana.
Email,"Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Elena."
Web,reunión de admision para 1ero primaria. Mi menor es Elena.
Email,"Estimados, quisiera saber los cuotas de primer grado para mi hijo Gabriel."
Web,documentación para traslado a primer grado. Postulante: Lucia.
Email,Solicito información de pensiones y detalles para secundaria. Atte: Pedro.
Web,papeles para traslado a primer año. Postulante: Pedro.
Web,ficha de matrícula para traslado a inicial 3 años. Postulante: Pedro.
Email,"ESTIMADOS, QUISIERA SABER LOS PENSIONES DE 6TO PRIMARIA PARA MI HIJO THIAGO."
Email,Solicito información de costos y detalles para inicial 3 años. Atte: Gabriel.
WhatsApp,Saber si hay cupos en inicial 4 años para Sofia. Gracias.
Web,cronograma de admision para inicial 4 años. Mi menor es Sofia.
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en 6to primaria para Elena. Gracias.</b></p>
Web,documentación para traslado a inicial 5 años. Postulante: Sofia.
WhatsApp,<p><b>Saber si hay vacantes en inicial 3 años para Sofia. Gracias.</b></p>
Web,<p><b>charlas de admision para 1ero secundaria. Mi menor es Valentina.</b></p>
WhatsApp,Hola hay espacios para 1ero primaria? Mi niño se llama Juan.
Web,PAPELES PARA TRASLADO A SECUNDARIA. POSTULANTE: VALENTINA.
WhatsApp,Saber si hay vacantes en secundaria para Ana. Gracias.
Web,requisitos para traslado a inicial 5 años. Postulante: Camila.
WhatsApp,HOLA HAY CUPOS PARA PRIMER GRADO? MI NIÑO SE LLAMA JUAN.
WhatsApp,Saber si hay cupos en 1ero secundaria para Luis. Gracias.
WhatsApp,SABER SI HAY VACANTES EN INICIAL 3 AÑOS PARA VALENTINA. GRACIAS.
Web,entrevistas de admision para 6to primaria. Mi menor es Maria.
Web,DOCUMENTOS PARA TRASLADO A INICIAL 3 AÑOS. POSTULANTE: MATEO.
Email,Solicito información de costos y detalles para inicial 5 años. Atte: Thiago.
WhatsApp,Hola hay disponibilidad de ingreso para inicial 4 años? Mi niño se llama Elena.
WhatsApp,Saber si hay cupos en primer año para Camila. Gracias.
WhatsApp,<p><b>Hola hay cupos para 6to primaria? Mi niño se llama Thiago.</b></p>
WhatsApp,Saber si hay lugares en inicial 5 años para Elena. Gracias.
Email,"<p><b>Estimados, quisiera saber los precios de inicial 5 años para mi hijo Sofia.</b></p>"
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Nicolas."
Email,<p><b>Solicito información de precios y detalles para 1ero primaria. Atte: Lucia.</b></p>
Email,"Estimados, quisiera saber los mensualidad de 5to secundaria para mi hijo Elena."
Web,REUNIÓN DE ADMISION PARA INICIAL 4 AÑOS. MI MENOR ES THIAGO.
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Sebastian."
Web,requisitos para traslado a 5to secundaria. Postulante: Thiago.
WhatsApp,<p><b>Hola hay lugares para inicial 4 años? Mi niño se llama Sebastian.</b></p>
Web,<p><b>ficha de matrícula para traslado a secundaria. Postulante: Sebastian.</b></p>
WhatsApp,Hola hay cupos para 5to secundaria? Mi niño se llama Sebastian.
Email,Solicito información de pensiones y detalles para 5to secundaria. Atte: Mateo.
Web,<p><b>documentación para traslado a primer grado. Postulante: Camila.</b></p>
Web,entrevistas de admision para primer grado. Mi menor es Sofia.
Web,<p><b>requisitos para traslado a inicial 5 años. Postulante: Nicolas.</b></p>
Email,<p><b>Solicito información de pagos y detalles para 6to primaria. Atte: Maria.</b></p>
Email,"ESTIMADOS, QUISIERA SABER LOS COSTOS DE 5TO SECUNDARIA PARA MI HIJO ELENA."
WhatsApp,Saber si hay disponibilidad de ingreso en 5to secundaria para Juan. Gracias.
Web,PARTIDAS PARA TRASLADO A SECUNDARIA. POSTULANTE: THIAGO.
Web,citas de admision para inicial 3 años. Mi menor es Juan.
